Date,Open,High,Low,Close,AdjClose,Volume,Change
2021-07-21,133,135.172089,133.508606,135,131.789902,5024984,0.015037593984962405
2021-07-22,135,135.573608,134.235184,134,131.239609,3466653,-0.007407407407407408
2021-07-23,134,135.468445,134.158707,135,131.827194,4680013,0.007462686567164179
2021-07-26,135,136.711288,134.923523,136,133.160965,4441630,0.007407407407407408
2021-07-27,136,137.323135,135.372849,136,133.142303,3281302,0.0
2021-07-28,136,136.806885,135.411087,135,132.228256,2660815,-0.007352941176470588
2021-07-29,136,136.673035,135.372849,135,132.377502,2793761,-0.007352941176470588
2021-07-30,135,135.611862,134.598465,134,131.472778,3698238,-0.007407407407407408
2021-08-02,135,136.768646,134.827911,135,131.901810,3064257,0.0
2021-08-03,135,138.336517,135.420654,137,134.373459,4272596,0.014814814814814815
2021-08-04,137,137.839386,136.204590,136,133.151642,2960285,-0.0072992700729927005
2021-08-05,136,137.103256,135.965576,136,133.160965,2884240,0.0
2021-08-06,136,138.040146,136.606125,137,134.392105,4002833,0.007352941176470588
2021-08-09,135,136.233276,134.770554,135,133.259995,5129689,0.0
2021-08-10,135,135.573608,134.168259,135,133.382645,5543695,0.0
2021-08-11,135,136.491394,135.277252,135,134.090225,4455960,0.0
2021-08-12,136,136.854691,135.831741,136,134.977036,2184780,0.0
2021-08-13,136,137.265778,136.175903,136,135.080826,1997965,0.0
2021-08-16,136,137.418732,135.975143,137,135.467621,2913319,0.007352941176470588
2021-08-17,136,136.864243,134.885284,136,134.363815,3215195,0.0
2021-08-18,135,135.678772,133.260040,133,131.580688,3672192,-0.014814814814814815
2021-08-19,132,133.317398,131.175903,131,130.212708,4351465,-0.007575757575757576
2021-08-20,131,133.250473,131.233276,132,131.241058,2780059,0.007633587786259542
2021-08-23,133,133.986618,132.695984,133,131.722198,3179422,0.0
2021-08-24,133,134.063095,133.193115,133,131.929749,2474418,0.0
2021-08-25,133,134.608032,133.326965,133,131.948624,2105389,0.0
2021-08-26,133,134.608032,132.609940,132,130.929718,2613640,-0.007518796992481203
2021-08-27,132,133.451248,132.313583,133,131.524078,2572637,0.007575757575757576
2021-08-30,133,133.728485,132.715103,132,131.108963,2087293,-0.007518796992481203
2021-08-31,133,134.741867,132.839386,134,132.401474,4429915,0.007518796992481203
2021-09-01,133,133.910141,133.068832,133,131.420303,2588327,0.0
2021-09-02,133,133.891006,132.915863,133,132.090134,2840413,0.0
2021-09-03,133,134.292542,133.173996,133,131.684464,2009575,0.0
2021-09-07,133,133.642441,131.701721,131,130.250443,3436110,-0.015037593984962405
2021-09-08,132,132.973236,131.548752,132,130.825943,3122728,0.0
2021-09-09,131,132.848953,131.510513,131,129.948547,3669682,0.0
2021-09-10,132,133.240921,130.975143,130,129.269272,4157955,-0.015151515151515152
2021-09-13,132,132.877625,131.462708,132,130.335358,4334729,0.0
2021-09-14,132,132.476105,129.388138,130,128.514526,4659198,-0.015151515151515152
2021-09-15,130,131.739960,129.703629,131,129.439087,3403579,0.007692307692307693
2021-09-16,131,131.883362,129.741867,130,128.712646,2765624,-0.007633587786259542
2021-09-17,129,129.942642,129.110901,129,127.580536,5890340,0.0
2021-09-20,128,129.235184,126.940727,128,126.712570,4990152,0.0
2021-09-21,129,129.684509,127.093689,127,125.448364,4261927,-0.015503875968992248
2021-09-22,127,129.416824,127.600380,128,127.014465,3767901,0.007874015748031496
2021-09-23,129,131.376678,129.091782,130,128.995667,3151807,0.007751937984496124
2021-09-24,131,132.390060,130.736145,131,129.712677,3100762,0.0
2021-09-27,131,132.954117,131.434036,132,130.722153,3459017,0.007633587786259542
2021-09-28,133,133.546844,131.175903,131,129.693817,4513072,-0.015037593984962405
2021-09-29,131,133.776291,130.439774,133,131.307098,3947499,0.015267175572519083
2021-09-30,133,134.388138,132.409180,132,131.071228,6090230,-0.007518796992481203
2021-10-01,134,137.638626,134.196945,137,135.212906,6907889,0.022388059701492536
2021-10-04,136,139.579346,136.089859,137,135.958206,7689251,0.007352941176470588
2021-10-05,138,138.623322,136.367111,136,135.052521,7297524,-0.014492753623188406
2021-10-06,136,137.065002,134.694077,136,134.307205,5573506,0.0
2021-10-07,136,137.093689,135.305923,135,133.788315,3999695,-0.007352941176470588
2021-10-08,135,137.332703,134.847031,136,135.118561,3902940,0.007407407407407408
2021-10-11,137,137.743790,136.137665,136,134.373245,2921792,-0.0072992700729927005
2021-10-12,135,136.042068,134.130020,134,132.524109,3293436,-0.007407407407407408
2021-10-13,134,135.191208,133.518158,134,132.797714,3013003,0.0
2021-10-14,134,137.590820,134.808792,137,135.278946,4410668,0.022388059701492536
2021-10-15,137,138.479919,136.510513,138,136.429932,3371049,0.0072992700729927005
2021-10-18,137,138.565964,135.525818,136,134.269470,6437189,-0.0072992700729927005
2021-10-19,134,136.653915,134.340347,135,133.948715,4539117,0.007462686567164179
2021-10-20,135,135.946457,134.512421,135,133.873230,6474008,0.0
2021-10-21,127,127.839386,122.466537,122,121.070831,32913959,-0.03937007874015748
2021-10-22,122,124.521988,121.042068,122,120.646286,12114981,0.0
2021-10-25,121,122.992355,121.357552,122,120.419868,6667204,0.008264462809917356
2021-10-26,121,122.657745,121.185471,121,119.938713,8912861,0.0
2021-10-27,121,122.256210,119.512428,119,118.089584,7294176,-0.01652892561983471
2021-10-28,119,120.755257,119.139580,120,118.721680,6802138,0.008403361344537815
2021-10-29,119,120.764816,119.416824,119,118.023544,6188973,0.0
2021-11-01,119,120.755257,118.393883,120,119.136795,6177153,0.008403361344537815
2021-11-02,120,121.577438,119.416824,120,119.042450,4722062,0.0
2021-11-03,120,121.692162,120.152962,121,119.938713,5670784,0.008333333333333333
2021-11-04,123,123.339996,119.900002,120,119.258591,7208700,-0.024390243902439025
2021-11-05,121,123.769997,121.430000,123,121.982246,6786500,0.01652892561983471
2021-11-08,123,124.779999,123.529999,124,122.900002,5625300,0.008130081300813009
2021-11-09,122,122.900002,120.260002,120,120.849998,7236600,-0.01639344262295082
2021-11-10,121,122.430000,119.930000,120,120.220001,6270300,-0.008264462809917356
2021-11-11,120,121.790001,120.080002,120,120.269997,4643300,0.0
2021-11-12,120,120.639999,118.779999,118,118.959999,5414800,-0.016666666666666666
2021-11-15,119,120.160004,118.309998,118,118.870003,5046300,-0.008403361344537815
2021-11-16,118,119.900002,118.419998,118,118.459999,4750800,0.0
2021-11-17,118,119.330002,117.779999,118,118.059998,4043300,0.0
2021-11-18,118,118.360001,116.309998,116,116.660004,5046900,-0.01694915254237288
2021-11-19,116,116.559998,115.269997,116,116.050003,5380200,0.0
2021-11-22,116,118.809998,115.190002,116,116.470001,6416200,0.0
2021-11-23,116,117.940002,116.040001,116,116.790001,4912800,0.0
2021-11-24,116,117.269997,116.080002,116,116.730003,3220800,0.0
2021-11-26,115,116.339996,114.559998,115,115.809998,3322000,0.0
2021-11-29,118,119.610001,117.529999,118,118.500000,8949800,0.0
2021-11-30,117,119.239998,116.449997,117,117.099998,9252700,0.0
2021-12-01,118,118.930000,116.849998,116,116.919998,5958300,-0.01694915254237288
2021-12-02,117,117.980003,116.559998,116,116.900002,5267100,-0.008547008547008548
2021-12-03,117,119.360001,117.360001,118,118.839996,6629200,0.008547008547008548
2021-12-06,119,121.150002,119.400002,119,119.910004,4781600,0.0
2021-12-07,120,121.779999,120.110001,121,121.649399,986086,0.008333333333333333
